Category Link,Series Link,Class Link,Series Title,Class Title,HLS URL,Categories
no link,no link,https://ondemand.animalflow.com/assets/12321_af_mentorship_-_miro_flow_3_int_-_v1,No Series Title,Flow with Miro #2 (Intermediate),https://d1y8hfkrra5zh9.cloudfront.net/2001/media/e5de82319adc4151b01cc897dd688ae2/hls.m3u8,Intermediate Flows
no link,no link,https://ondemand.animalflow.com/assets/rich-int-flow-1,No Series Title,Flow with Rich #1 (Intermediate),https://d1y8hfkrra5zh9.cloudfront.net/2001/media/08dc8411db4c45bc975446144884c219/hls.m3u8,Intermediate Flows
no link,no link,https://ondemand.animalflow.com/assets/rich-beginner-flow-3-v1,No Series Title,Flow with Rich #2 (Beginner),https://d1y8hfkrra5zh9.cloudfront.net/2001/media/c9bd9ba8da17435bb295fc9118dadb78/hls.m3u8,Beginner Flows
no link,no link,https://ondemand.animalflow.com/assets/rich-beginner-flow-2-v1,No Series Title,Flow with Rich #3 (Beginner),https://d1y8hfkrra5zh9.cloudfront.net/2001/media/33f7dfb3429346259df11116dc866b9d/hls.m3u8,Beginner Flows
no link,no link,https://ondemand.animalflow.com/assets/rich-int-flow-3-v1,No Series Title,Flow with Rich #4 (Intermediate),https://d1y8hfkrra5zh9.cloudfront.net/2001/media/53f4b7ac567e4e30a74a664c0def2cef/hls.m3u8,Intermediate Flows
no link,no link,https://ondemand.animalflow.com/assets/rich-beginner-flow-4-v1,No Series Title,Flow with Rich #5 (Beginner),https://d1y8hfkrra5zh9.cloudfront.net/2001/media/cc7ad8644b21496db6f1092b3a609252/hls.m3u8,Beginner Flows
no link,no link,https://ondemand.animalflow.com/assets/rich-beginner-flow-5-v1,No Series Title,Flow with Rich #6 (Beginner),https://d1y8hfkrra5zh9.cloudfront.net/2001/media/6fb1e89fa19c499fbc9447d5e99ad897/hls.m3u8,Beginner Flows
no link,no link,https://ondemand.animalflow.com/assets/rich-adv-flow-4-v1,No Series Title,Flow with Rich #7 (Advanced),https://d1y8hfkrra5zh9.cloudfront.net/2001/media/b8872a9e05f74555ba266e0219b80a19/hls.m3u8,Advanced Flows
no link,no link,https://ondemand.animalflow.com/assets/8-b981d384-3a5f-451f-83ab-d2ab277dad38,No Series Title,Flow with Rich #8 (Beginner),https://d1y8hfkrra5zh9.cloudfront.net/2001/media/65deaa68927044bcb91abf6d4f02dc67/hls.m3u8,Beginner Flows
no link,no link,https://ondemand.animalflow.com/assets/81621-lofthouse-rosh-int-flow-3-v1,No Series Title,Flow with Rosh #10 (Intermediate),https://d1y8hfkrra5zh9.cloudfront.net/2001/media/2865e2012e064b8d8a9a4bcfffcc49d7/hls.m3u8,Intermediate Flows
no link,no link,https://ondemand.animalflow.com/assets/12321_af_mentorship_-_rosh_flow_1_beginner_-_v1,No Series Title,Flow with Rosh #11 (Beginner),https://d1y8hfkrra5zh9.cloudfront.net/2001/media/dadbc03bbf4d47468f5cd5a474d82b11/hls.m3u8,Beginner Flows
no link,no link,https://ondemand.animalflow.com/assets/12321_af_mentorship_-_rosh_flow_2_int_-_v2,No Series Title,Flow with Rosh #12 (Intermediate),https://d1y8hfkrra5zh9.cloudfront.net/2001/media/00acbf5ffd6546af9d8fecce14ae9304/hls.m3u8,Intermediate Flows
no link,no link,https://ondemand.animalflow.com/assets/rosh_flow_-_beginner_-_v2-1080p,No Series Title,Flow with Rosh #13 (Beginner),https://d1y8hfkrra5zh9.cloudfront.net/2001/media/b957f2667ff847479501b0ee3296b0a5/hls.m3u8,Beginner Flows
no link,no link,https://ondemand.animalflow.com/assets/rosh-1-v2-f-mp4,No Series Title,Flow with Rosh #1 (Beginner),https://d1y8hfkrra5zh9.cloudfront.net/2001/media/693bcc9b6eee4116841a44f851ad3096/hls.m3u8,Beginner Flows
no link,no link,https://ondemand.animalflow.com/assets/rosh-2-v2-f-mp4,No Series Title,Flow with Rosh #2 (Beginner),https://d1y8hfkrra5zh9.cloudfront.net/2001/media/b5badbb508ad4bd2980627de1412a215/hls.m3u8,Beginner Flows
no link,no link,https://ondemand.animalflow.com/assets/rosh-7-v1-f-mp4,No Series Title,Flow with Rosh #3 (Advanced),https://d1y8hfkrra5zh9.cloudfront.net/2001/media/f1ddc4e37b204a0fbeea42034f07bcd3/hls.m3u8,Advanced Flows
no link,no link,https://ondemand.animalflow.com/assets/rosh-4-v1-f-mp4,No Series Title,Flow with Rosh #4 (Intermediate),https://d1y8hfkrra5zh9.cloudfront.net/2001/media/8ba584a530444889a8d718a8d26bef09/hls.m3u8,Intermediate Flows
no link,no link,https://ondemand.animalflow.com/assets/rosh-3-v1-f-mp4,No Series Title,Flow with Rosh #5 (Beginner),https://d1y8hfkrra5zh9.cloudfront.net/2001/media/76237e26e7854378bea5e0bb10c39b5c/hls.m3u8,Beginner Flows
no link,no link,https://ondemand.animalflow.com/assets/rosh-5-v1-f-mp4,No Series Title,Flow with Rosh #6 (Intermediate),https://d1y8hfkrra5zh9.cloudfront.net/2001/media/4515f585d05e47119695387ae4579c8e/hls.m3u8,Intermediate Flows
no link,no link,https://ondemand.animalflow.com/assets/rosh-8-v1-f-mp4,No Series Title,Flow with Rosh #7 (Beginner),https://d1y8hfkrra5zh9.cloudfront.net/2001/media/26b91cb9c07d4ad3bf10721665df019a/hls.m3u8,Beginner Flows|Entry Level Flows
no link,no link,https://ondemand.animalflow.com/assets/rosh-6-v1-f-mp4,No Series Title,Flow with Rosh #8 (Intermediate),https://d1y8hfkrra5zh9.cloudfront.net/2001/media/19c929e449f64e5c9daed41d0517041d/hls.m3u8,Intermediate Flows
no link,no link,https://ondemand.animalflow.com/assets/81621-lofthouse-rosh-int-flow-1,No Series Title,Flow with Rosh #9 (Intermediate),https://d1y8hfkrra5zh9.cloudfront.net/2001/media/0432a7ce6b244528bbf23f5e8c29b6dc/hls.m3u8,Intermediate Flows
no link,no link,https://ondemand.animalflow.com/assets/sascha-flow-2-mp4,No Series Title,Flow with Sascha #1 (Beginner),https://d1y8hfkrra5zh9.cloudfront.net/2001/media/aa5acb874d534deca73ca7e6542e6a2e/hls.m3u8,Beginner Flows
no link,no link,https://ondemand.animalflow.com/assets/bsascha-d1-flow-1-mp4,No Series Title,Flow with Sascha #2 (Beginner),https://d1y8hfkrra5zh9.cloudfront.net/2001/media/06e1ddf35e0144e59259604f2cdecafe/hls.m3u8,Beginner Flows
no link,no link,https://ondemand.animalflow.com/assets/bsascha-d1-flow-6-mp4,No Series Title,Flow With Sascha #3 (Advanced),https://d1y8hfkrra5zh9.cloudfront.net/2001/media/3146f4a6c9204d8f9e7381841187ae41/hls.m3u8,Advanced Flows
no link,no link,https://ondemand.animalflow.com/assets/bsascha-d2-flow-8-mp4,No Series Title,Flow with Sascha #4 (Intermediate),https://d1y8hfkrra5zh9.cloudfront.net/2001/media/ccdb3f43a46445f5aa8af46196c11bdd/hls.m3u8,Intermediate Flows
no link,no link,https://ondemand.animalflow.com/assets/bsascha-d1-flow-4-mp4,No Series Title,Flow with Sascha #5 (Intermediate),https://d1y8hfkrra5zh9.cloudfront.net/2001/media/ee037d24585d400ab1205ff25d3d08ca/hls.m3u8,Intermediate Flows
no link,no link,https://ondemand.animalflow.com/assets/bsascha-d1-flow-5-mp4,No Series Title,Flow with Sascha #6 (Advanced),https://d1y8hfkrra5zh9.cloudfront.net/2001/media/2478e09c6aa94c31a31eebe0afd4da4d/hls.m3u8,Advanced Flows
no link,no link,https://ondemand.animalflow.com/assets/bsascha-d1-flow-3-posted-s7-mp4,No Series Title,Flow with Sascha #7 (Beginner to Intermediate),https://d1y8hfkrra5zh9.cloudfront.net/2001/media/410ed85b551342cf8349ba1beb562417/hls.m3u8,Beginner Flows|Intermediate Flows
no link,no link,https://ondemand.animalflow.com/assets/bsascha-d1-flow-7-mp4,No Series Title,Flow with Sascha #8 (Drill - Beginner),https://d1y8hfkrra5zh9.cloudfront.net/2001/media/f679db2be75340059dc85ea54fb4c2e1/hls.m3u8,Beginner Flows
no link,no link,https://ondemand.animalflow.com/assets/full-crab-reach-tutorial-1-intro,No Series Title,Full Crab Reach Tutorial Series: Introduction (Video #1),https://d1y8hfkrra5zh9.cloudfront.net/2001/media/49c7b3ece5d5484b91e8c30d3a53773b/hls.m3u8,Full Crab Reach Tutorial Series
no link,no link,https://ondemand.animalflow.com/assets/how-to-use-the-app,No Series Title,How to Use the Animal Flow App,https://d1y8hfkrra5zh9.cloudfront.net/2001/media/7cb381c6c49f468eb7c2795603220351/hls.m3u8,GETTING STARTED|MY FIRST WEEK
no link,no link,https://ondemand.animalflow.com/assets/classes-intervals-1,No Series Title,Intervals Class #1 (Intermediate),https://d1y8hfkrra5zh9.cloudfront.net/2001/media/db6716ef13754b9d8f00a0f25db40e44/hls.m3u8,Interval Classes|CLASSES
no link,no link,https://ondemand.animalflow.com/assets/classes-intervals-2,No Series Title,Intervals Class #2 (Intermediate),https://d1y8hfkrra5zh9.cloudfront.net/2001/media/4ff676ec2fc142aba4d4f91b17911f3a/hls.m3u8,CLASSES|Interval Classes
no link,no link,https://ondemand.animalflow.com/assets/classes-intervals-3,No Series Title,Intervals Class #3 (Advanced),https://d1y8hfkrra5zh9.cloudfront.net/2001/media/bece127afa334b029d45a4d7090d0fee/hls.m3u8,CLASSES|Interval Classes
no link,no link,https://ondemand.animalflow.com/assets/af-lesson-4-v4-mp4,No Series Title,Intervals Class #4 (Advanced),https://d1y8hfkrra5zh9.cloudfront.net/2001/media/8e30d563951e4738838ed49a4ef3fed0/hls.m3u8,CLASSES|Interval Classes
no link,no link,https://ondemand.animalflow.com/assets/81621-lofthouse-rosh-interval-class-v2,No Series Title,Intervals Class #5 (Intermediate),https://d1y8hfkrra5zh9.cloudfront.net/2001/media/ca048c3c83cd454193fc77ac9edf63c0/hls.m3u8,CLASSES|Interval Classes
no link,no link,https://ondemand.animalflow.com/assets/21122_-_mike_interval_class_-_v1,No Series Title,Intervals Class #6 (Intermediate),https://d1y8hfkrra5zh9.cloudfront.net/2001/media/28c2b8459b3b42b8890bd5106c6029ee/hls.m3u8,Interval Classes
no link,no link,https://ondemand.animalflow.com/assets/21122_-_mike_tuck_balance_conditioning_class_-_v2,No Series Title,Mike's Class #37:  Tuck Balance Conditioning Class,https://d1y8hfkrra5zh9.cloudfront.net/2001/media/5c4753faeff644968867f2f803525838/hls.m3u8,Flow Skills Classes|CLASSES|Tuck Balance Tutorial Series
no link,no link,https://ondemand.animalflow.com/assets/af-lesson-6-v3-mp4,No Series Title,Mike's Flow Class #10 (Beginner),https://d1y8hfkrra5zh9.cloudfront.net/2001/media/a6dcbaca15a14603a984c789cbab3c57/hls.m3u8,Flow Skills Classes|CLASSES
no link,no link,https://ondemand.animalflow.com/assets/af-lesson-8-v3-mp4,No Series Title,Mike's Flow Class #11 (Entry Level /Beginner),https://d1y8hfkrra5zh9.cloudfront.net/2001/media/125f9ba7ec4c4568b0ea25fe2253e60a/hls.m3u8,Flow Skills Classes|CLASSES
no link,no link,https://ondemand.animalflow.com/assets/af-lesson-10-v3-mp4,No Series Title,Mike's Flow Class #12 (Intermediate),https://d1y8hfkrra5zh9.cloudfront.net/2001/media/2f0b82c02d7e4864a771bf3c18ffa0bb/hls.m3u8,Flow Skills Classes|CLASSES
no link,no link,https://ondemand.animalflow.com/assets/day-2-beginner-class-mp4,No Series Title,Mike's Flow Class #13 (Beginner),https://d1y8hfkrra5zh9.cloudfront.net/2001/media/b6cce23c920a4834abd8e50fcf677762/hls.m3u8,Flow Skills Classes|CLASSES
no link,no link,https://ondemand.animalflow.com/assets/day-2-class-2-mp4,No Series Title,Mike's Flow Class #14 (Advanced),https://d1y8hfkrra5zh9.cloudfront.net/2001/media/15bbd8cdf6b74d42aaba7dee2b68145f/hls.m3u8,Flow Skills Classes|CLASSES
no link,no link,https://ondemand.animalflow.com/assets/day-2-class-3-mp4,No Series Title,Mike's Flow Class #15 (Advanced),https://d1y8hfkrra5zh9.cloudfront.net/2001/media/7dca2c3281554024824ea52178030b39/hls.m3u8,Flow Skills Classes|CLASSES
no link,no link,https://ondemand.animalflow.com/assets/day-2-class-4-mp4,No Series Title,Mike's Flow Class #16 (Beginner to Intermediate),https://d1y8hfkrra5zh9.cloudfront.net/2001/media/2ddc36f6ec9f481f8a998ea9f7b164a4/hls.m3u8,Flow Skills Classes|CLASSES
no link,no link,https://ondemand.animalflow.com/assets/day-2-class-5-mp4,No Series Title,Mike's Flow Class #17 (Entry Level / Beginner),https://d1y8hfkrra5zh9.cloudfront.net/2001/media/8179568f6d5b491c8d8de20e3691cf16/hls.m3u8,Flow Skills Classes|CLASSES
no link,no link,https://ondemand.animalflow.com/assets/animal-flow-may-shoot-class-2-v1-mp4,No Series Title,Mike's Flow Class #18 (Advanced),https://d1y8hfkrra5zh9.cloudfront.net/2001/media/8fa10100b91247a79e21ec8bef2fc682/hls.m3u8,CLASSES|Flow Skills Classes
no link,no link,https://ondemand.animalflow.com/assets/animal-flow-may-shoot-class-3-v3-mp4,No Series Title,Mike's Flow Class #19 (Beginner),https://d1y8hfkrra5zh9.cloudfront.net/2001/media/92d3893a8507413fa9ea87c2aa984fcc/hls.m3u8,CLASSES|Flow Skills Classes
no link,no link,https://ondemand.animalflow.com/assets/classes-flow-1-easy,No Series Title,Mike's Flow Class #1 (Beginner),https://d1y8hfkrra5zh9.cloudfront.net/2001/media/29e89652465449dd88e8968f937c0a34/hls.m3u8,Flow Skills Classes|CLASSES
no link,no link,https://ondemand.animalflow.com/assets/animal-flow-may-shoot-class-4-v1-mp4,No Series Title,MIke's Flow Class #20 (Advanced),https://d1y8hfkrra5zh9.cloudfront.net/2001/media/4e1f201cf8794f2d8b203d96371451d7/hls.m3u8,Flow Skills Classes|CLASSES
no link,no link,https://ondemand.animalflow.com/assets/animal-flow-may-shoot-class-5-v3-mp4,No Series Title,Mike's Flow Class #21 (Intermediate),https://d1y8hfkrra5zh9.cloudfront.net/2001/media/f51dc23b1c3d4910908eef9be0d84b1d/hls.m3u8,CLASSES|Flow Skills Classes
no link,no link,https://ondemand.animalflow.com/assets/animal-flow-july-class-1-mp4,No Series Title,Mike's Flow Class #22 (Advanced),https://d1y8hfkrra5zh9.cloudfront.net/2001/media/7bdf166954e34a58b2a3b195a3b882bb/hls.m3u8,CLASSES|Flow Skills Classes
no link,no link,https://ondemand.animalflow.com/assets/animal-flow-class-2-intermediate-flow-skills-v2-mp4,No Series Title,Mike's Flow Class #23 (Intermediate),https://d1y8hfkrra5zh9.cloudfront.net/2001/media/5d6b378260e24d81b48b9da60bd67e76/hls.m3u8,CLASSES|Flow Skills Classes
no link,no link,https://ondemand.animalflow.com/assets/af-class-advanced-aug-mp4,No Series Title,Mike's Flow Class #24 (Advanced),https://d1y8hfkrra5zh9.cloudfront.net/2001/media/2ef35d4c49df4c5eb3bc2ea1907ef87b/hls.m3u8,CLASSES|Flow Skills Classes
no link,no link,https://ondemand.animalflow.com/assets/af-class-intermediate-aug-mp4,No Series Title,Mike's Flow Class #25 (Intermediate),https://d1y8hfkrra5zh9.cloudfront.net/2001/media/403d409c9f6e4e8bafe2122d0d10dd1e/hls.m3u8,CLASSES|Flow Skills Classes
no link,no link,https://ondemand.animalflow.com/assets/flow-class-26-full,No Series Title,Mike's Flow Class #26A (Beginner),https://d1y8hfkrra5zh9.cloudfront.net/2001/media/f0062494bb794f118023b28c35c586f4/hls.m3u8,Flow Skills Classes|CLASSES
no link,no link,https://ondemand.animalflow.com/assets/flow-skills-class-26b-practice,No Series Title,Mike's Flow Class #26B (Beginner) - PRACTICE,https://d1y8hfkrra5zh9.cloudfront.net/2001/media/1801cc5e247242c79b80027e77d782d0/hls.m3u8,CLASSES|Flow Skills PRACTICE|Flow Skills Classes
no link,no link,https://ondemand.animalflow.com/assets/flow-skills-class-27a,No Series Title,Mike's Flow Class #27A (Intermediate/Advanced),https://d1y8hfkrra5zh9.cloudfront.net/2001/media/3bbd51edebc24041846ad0dd1d612f73/hls.m3u8,Flow Skills Classes|CLASSES
no link,no link,https://ondemand.animalflow.com/assets/flow-skills-class-27b,No Series Title,Mike's Flow Class #27B  (Intermediate/Advancced) PRACTICE,https://d1y8hfkrra5zh9.cloudfront.net/2001/media/f8ee6f663834403681834f813c82d722/hls.m3u8,CLASSES|Flow Skills Classes|Flow Skills PRACTICE
no link,no link,https://ondemand.animalflow.com/assets/flow-class-28a-intadv,No Series Title,Mike's Flow Class #28A (Intermediate/Advanced),https://d1y8hfkrra5zh9.cloudfront.net/2001/media/1eeb83118029485496b7f6528ac720d7/hls.m3u8,Flow Skills Classes|CLASSES
no link,no link,https://ondemand.animalflow.com/assets/flow-class-28b-intadv,No Series Title,Mike's Flow Class #28B  (Intermediate/Advanced) PRACTICE,https://d1y8hfkrra5zh9.cloudfront.net/2001/media/2871f09d25454c9e94149e4076d6b4dd/hls.m3u8,Flow Skills Classes|CLASSES|Flow Skills PRACTICE
